Temperature,Type,Correct,Total,Accuracy (%),Standard Error,T-Statistic,P-Value
0.0,brand name,448,1835,24.4141689373297,1.002820341320387,0.813573050478343,0.415942389472046
0.0,preferred name,427,1835,23.26975476839237,0.9864183939277913,0.813573050478343,0.415942389472046
0.7,brand name,450,1835,24.52316076294278,1.004331399459156,0.7733123935440316,0.43938735439358156
0.7,preferred name,430,1835,23.43324250681199,0.9888223795278486,0.7733123935440316,0.43938735439358156
1.0,brand name,449,1835,24.46866485013624,1.0035769611120215,0.8129356344374952,0.41630772325226806
1.0,preferred name,428,1835,23.32425068119891,0.987222012272442,0.8129356344374952,0.41630772325226806
Overall,All,2632,11010,23.905540417801998,0.40647341104746204,,
