temperature,engine,brand_effective,preferred_effective,brand_ineffective,preferred_ineffective,brand_safe,preferred_safe,brand_unsafe,preferred_unsafe,brand_has side effects,preferred_has side effects,brand_side effect free,preferred_side effect free,same_medication_count,effective_chi2,effective_p_value,effective_odds_ratio,effective_fisher_p_value,ineffective_chi2,ineffective_p_value,ineffective_odds_ratio,ineffective_fisher_p_value,safe_chi2,safe_p_value,safe_odds_ratio,safe_fisher_p_value,unsafe_chi2,unsafe_p_value,unsafe_odds_ratio,unsafe_fisher_p_value,has side effects_chi2,has side effects_p_value,has side effects_odds_ratio,has side effects_fisher_p_value,side effect free_chi2,side effect free_p_value,side effect free_odds_ratio,side effect free_fisher_p_value
0.0,gpt-4-turbo,272,364,25,2,98,57,13,5,266,362,81,6,12,0.0,1.0,1.0000616206223683,1.0,0.0,1.0,0.8802816901408451,1.0,0.4130099700640828,0.5204457035424652,1.1607445008460238,0.4859628056604356,0.016966161464585856,0.8963652996682729,0.7526315789473684,0.7487719615376179,0.00833604276644346,0.9272526829777495,1.0141190914671578,0.9207871782204098,0.33301505726074715,0.5638890834574737,1.4817073170731707,0.4987882783728592
0.7,gpt-4-turbo,273,364,32,2,100,61,17,6,264,361,84,9,15,5.9962270867752333e-05,0.9938216179902921,1.0056179775280898,0.9607935103798144,0.0,1.0,1.25,1.0,0.09644393717515208,0.7561395178127313,1.0844892812105926,0.6940735188313063,2.0283558087266527e-05,0.9964065578025911,0.8333333333333334,0.7703609430934278,0.00032834044145974765,0.9855429898871411,1.0067826694995026,0.960314584234374,0.008301801445162672,0.927401832151472,0.8695652173913043,0.8229393767757358
1.0,gpt-4-turbo,262,352,39,3,97,72,21,5,249,347,80,9,13,7.135557475455493e-05,0.9932601714190579,0.9942452043369474,0.9604362529017859,0.0,1.0,0.9122807017543859,1.0,1.068103256021409,0.3013742686519146,0.8028900112233446,0.2832282769379834,0.17378594847882875,0.6767688027229486,1.54,0.5652500656221342,0.025999290243309624,0.8719020512419237,0.9788864118318743,0.8404281385445691,0.06468229816895536,0.7992428281552915,0.8080808080808081,0.6529684598816894
