Temperature,Type,Correct,Total,Accuracy (%),Standard Error,T-Statistic,P-Value
0.0,brand name,1787,1835,97.3841961852861,0.3725879387991419,4.161865096252691,3.229042195607157e-05
0.0,preferred name,1738,1835,94.71389645776567,0.5223440479173332,4.161865096252691,3.229042195607157e-05
0.7,brand name,1787,1835,97.3841961852861,0.3725879387991419,4.233176334232257,2.3605903805234973e-05
0.7,preferred name,1737,1835,94.65940054495913,0.5248785731977709,4.233176334232257,2.3605903805234973e-05
1.0,brand name,1778,1835,96.89373297002724,0.40499457266574346,3.3702288789629837,0.0007588199958543651
1.0,preferred name,1737,1835,94.65940054495913,0.5248785731977709,3.3702288789629837,0.0007588199958543651
Overall,All,10564,11010,95.94913714804723,0.1878886937760221,,
