Temperature,Type,Correct,Total,Accuracy (%),Standard Error,T-Statistic,P-Value
0.0,brand name,1546,1835,84.25068119891009,0.8503536169107869,-1.1537742021594548,0.24866792484627487
0.0,preferred name,1571,1835,85.61307901907357,0.8192867911801708,-1.1537742021594548,0.24866792484627487
0.7,brand name,1548,1835,84.35967302452316,0.8479540594876328,-1.251727596853476,0.2107489572669956
0.7,preferred name,1575,1835,85.83106267029973,0.8140908062536586,-1.251727596853476,0.2107489572669956
1.0,brand name,1540,1835,83.92370572207084,0.8574667048396871,-0.45253472713039905,0.6509105720267678
1.0,preferred name,1550,1835,84.46866485013625,0.8455400362095413,-0.45253472713039905,0.6509105720267678
Overall,All,9330,11010,84.74114441416893,0.3427002997371768,,
