model,task,type,temperature,mean_length,median_length,std_dev,min_length,max_length,total_responses,valid_responses,na_responses
gpt-4o,coral_prognosis,brand,0.0,7.658536585365853,6.0,4.533059665473614,1.0,24.0,185,82,103
gpt-4o,coral_prognosis,brand,0.7,10.546875,6.0,16.171628779469074,1.0,120.0,185,64,121
gpt-4o,coral_prognosis,brand,1.0,15.256410256410257,6.0,21.154616884212665,1.0,120.0,185,78,107
gpt-4o,coral_prognosis,generic,0.0,23.4,12.0,21.27305472053455,1.0,60.0,185,15,170
gpt-4o,coral_prognosis,generic,0.7,15.7,12.0,16.768077440560425,1.0,60.0,185,20,165
gpt-4o,coral_prognosis,generic,1.0,17.2,12.0,18.199479460456526,1.0,60.0,185,20,165
